ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
126,,MaestroMobile,Consultancy,/,/,/,https://nl.maestromobile.eu/,"Onderdeel van Espaces-mobilité, studiebureau mobiliteit",No (not neccesary),No,,,,,
127,f635fac2-07d8-41ea-8940-2111db1c641a ,Makro Rental,Data supplier,Demand responsive transport - private,Car-hire,Flanders TEN-T,https://www.makro.be/service/rental,Huurwagens terbeschikking op Makro-parkings voor vervoer boodschappen naar huis,Yes,Yes,,,,,
128,,MAP traffic Mannagement,Consultancy,/,"Location (streets, adresses, etc)",Belgium - International,www.maptm.nl,Consultancy verkeersmanagement => Europees UVAR box project ivm toegangkelijkheid (uvarbox.eu),No (not neccesary),No,,,,,
129,,Meermobiel,Federation/network,/,/,/,www.meermobiel.be,Platform met info over toegankelijk en aangepast vervoer in Vlaanderen en Brussel,No (not neccesary),No,,,,,
130,,Mint,Consultancy,/,/,/,https://www.mintnv.be,Mobiliteits studiebureau,No (not neccesary),No,,,,,
131,84d5205e-2131-466d-96ba-e1c9b33b305a ,MIVB/STIB,Data supplier,Public transport,Multiple scheduled (Bus -metro -tram),Brussels ,www.mivb.be,PTO,Yes,Yes,,,,,
132,,mob-box,Other…,/,/,/,,Ingeschreven voor workshop 2 (geen info over wat soort organisatie),No (not neccesary),No,,,,,
133,,Mobit,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders TEN-T,https://www.mobit.eu,fietsverhuur in verschillende steden,No,Yes,,,,,
134,,Mobly,Other…,/,/,/,www.mobly.be,Autoverzekering & pechverhelping -> Connected car systeem,No (not neccesary),No,,,,,
135,,Modalizy,Consultancy,/,/,/,https://www.modalizy.be,"Slimme mobiliteit, aanbieder van mobiliteitskaarten",No (not neccesary),No,,,,,
136,,Moovit,Data user,/,/,/,,Multimodal  transport app,No (not neccesary),No,,,,,
137,3526574b-c02b-4a99-8141-e2d08f4840af ,More Lion,Consultancy,/,/,/,www.more-lion.com,Independent advisor with a track record in smart mobility and project management.,,No,,,,,
138,95854801-05e2-49ff-9b48-c58c04eb24f5 ,MOW Vlaanderen,Data supplier,Transport authority,"Location (streets, adresses, etc)",Flanders TEN-T,https://departement-mow.vlaanderen.be/nl,Transport authority,Yes,Yes,,,,,
139,,Multiobus,Data supplier B2B,/,,/,www.multiobus.be,verhuren autobussen voor bedrijven/scholen/groepen/verenigingen en de Lijn,No (not neccesary),No,,,,,
140,,Multitel,Research,/,/,/,www.multitel.be,Transport research center,No (not neccesary),No,,,,,
141,,MUSKECOACH SPRL,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,,Internationaal busbedrijf,No,Yes,,,,,
142,,N.V. Robert Bosch S.A.,Consultancy,/,/,/,https://www.bosch.be,Mobiliteitsconsulting/software,No (not neccesary),No,,,,,
143,,Nazka ,Data user,/,/,/,www.nazka.be,Nazka Mapps - maken kaarten obv data (oa voor mobiliteit),No (not neccesary),No,,,,,
144,,Nedap,Other…,/,/,/,https://www.nedapidentification.com,Technische ontwikkelingen binnen mobiliteit,No (not neccesary),No,,,,,
145,,Netwerk Duurzaam verbruiken,Federation/network,/,/,/,https://www.bewustverbruiken.be/,"Federatie voor bevordering van autodelen, fietsroutes, openbaar vervoer",No (not neccesary),No,,,,,
146,,Netwerk Duurzame Mobiliteit,Federation/network,/,/,/,https://www.duurzame-mobiliteit.be/,"koepel van mobiliteitsverenigingen Autodelen.net, Bond Beter Leefmilieu, Fietsersbond, Mobiel 21, Taxistop, Trage Wegen, TreinTramBus en de Voetgangersbeweging.",Yes,No,,,,,
147,,NextRide,Data user,/,/,/,https://nextride.be,Multimodal  transport app,No (not neccesary),No,,,,,
148,82e1025c-4db4-4a9c-95f6-e474db508f3f ,NGI,Data supplier,/,"Location (streets, adresses, etc)",Belgium - International,www.ngi.be,National Geographical Institute,Yes,No,,,,,
149,,NHV,Data supplier B2B,Demand responsive transport - private,Air,Belgium - International,,Helicopters,No (not neccesary),No,,,,,
150,,Nimera,Other…,/,/,/,www.nimera.net,Producent van software/hardware voor Smart mobility & ITS,No (not neccesary),No,,,,,
151,,NRB,Consultancy,/,/,/,https://www.nrb.be,ICT consulting bureau,No (not neccesary),No,,,,,
